drg_code,drg_field,drg_desc,average_covered_charges,average_medicare_payments,average_total_payments,provider_city,provider_name,provider_state,provider_zip_code,charge_gap,medicare_gap,overcharge_%,uncovered_%,vbp_score
57,Diseases & Disorders of the Nervous System,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,21390.57143,7112.428571,10385.5,MC KEESPORT,UPMC MCKEESPORT,PA,15132,11005.07143,3273.0714290000005,0.5144823487307838,0.31515780934957394,28.7
65,Diseases & Disorders of the Nervous System,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,33611.772730000004,6689.136364,9591.545455,MC KEESPORT,UPMC MCKEESPORT,PA,15132,24020.227275000005,2902.4090909999995,0.7146373227009499,0.302600775299146,28.7
101,Diseases & Disorders of the Nervous System,SEIZURES W/O MCC,18708.30435,5753.130435,7677.521739,MC KEESPORT,UPMC MCKEESPORT,PA,15132,11030.782611,1924.391304,0.5896195830810289,0.25065266754303617,28.7
189,Diseases & Disorders of the Respiratory System,PULMONARY EDEMA & RESPIRATORY FAILURE,34669.69231000001,8075.692308,11641.76923,MC KEESPORT,UPMC MCKEESPORT,PA,15132,23027.92308000001,3566.0769219999997,0.6642090409714398,0.3063174378006461,28.7
191,Diseases & Disorders of the Respiratory System,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,25565.4,6004.914286,9238.142857,MC KEESPORT,UPMC MCKEESPORT,PA,15132,16327.257143000004,3233.2285709999987,0.6386466530154037,0.34998685569687754,28.7
192,Diseases & Disorders of the Respiratory System,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,22112.0,4851.384615,7769.923076999998,MC KEESPORT,UPMC MCKEESPORT,PA,15132,14342.076922999999,2918.5384619999995,0.6486105699620116,0.37561999431361937,28.7
194,Diseases & Disorders of the Respiratory System,SIMPLE PNEUMONIA & PLEURISY W CC,33279.46154,6394.538462,10252.92308,MC KEESPORT,UPMC MCKEESPORT,PA,15132,23026.53846,3858.3846180000014,0.6919143938769389,0.37632044909479617,28.7
281,Diseases & Disorders of the Circulatory System,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",28645.35,7000.85,9444.1,MC KEESPORT,UPMC MCKEESPORT,PA,15132,19201.25,2443.25,0.6703094917674247,0.25870649400154594,28.7
292,Diseases & Disorders of the Circulatory System,HEART FAILURE & SHOCK W CC,23891.52381,5845.047619,8225.666667,MC KEESPORT,UPMC MCKEESPORT,PA,15132,15665.857143000001,2380.619048,0.6557077425276208,0.28941350827534085,28.7
293,Diseases & Disorders of the Circulatory System,HEART FAILURE & SHOCK W/O CC/MCC,17988.27273,4842.545455,6812.545455,MC KEESPORT,UPMC MCKEESPORT,PA,15132,11175.727275,1970.0,0.6212785097682917,0.28917238248357496,28.7
309,Diseases & Disorders of the Circulatory System,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,20512.92308,5291.615385,7495.076923,MC KEESPORT,UPMC MCKEESPORT,PA,15132,13017.846157,2203.4615380000005,0.6346168269744226,0.2939878483752821,28.7
310,Diseases & Disorders of the Circulatory System,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,15909.6,3544.133333,5857.2,MC KEESPORT,UPMC MCKEESPORT,PA,15132,10052.4,2313.066667,0.6318449238195807,0.3949099684149423,28.7
312,Diseases & Disorders of the Circulatory System,SYNCOPE & COLLAPSE,21706.82143,4971.785714,7572.321429,MC KEESPORT,UPMC MCKEESPORT,PA,15132,14134.500000999999,2600.535715000001,0.6511547555030492,0.3434264828009853,28.7
313,Diseases & Disorders of the Circulatory System,CHEST PAIN,15777.205130000002,4608.0,6559.641026,MC KEESPORT,UPMC MCKEESPORT,PA,15132,9217.564104,1951.641026,0.5842330138988311,0.2975225348863473,28.7
378,Diseases & Disorders of the Digestive System,G.I. HEMORRHAGE W CC,29399.77778,6682.111111,9644.888889,MC KEESPORT,UPMC MCKEESPORT,PA,15132,19754.888891,2962.777778,0.6719400751538607,0.3071863047980832,28.7
392,Diseases & Disorders of the Digestive System,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",18257.94737,4982.631579,7259.447368000001,MC KEESPORT,UPMC MCKEESPORT,PA,15132,10998.500001999995,2276.815789000001,0.6023952079121366,0.3136348641408045,28.7
394,Diseases & Disorders of the Digestive System,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,27914.636360000004,6490.636364,9196.272727,MC KEESPORT,UPMC MCKEESPORT,PA,15132,18718.363633000004,2705.636363,0.6705573159399022,0.2942101048239171,28.7
470,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,62599.5,12582.75,15530.75,MC KEESPORT,UPMC MCKEESPORT,PA,15132,47068.75,2948.0,0.7519029704710102,0.18981697599922734,28.7
543,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,23100.72727,6971.636364,9183.090909,MC KEESPORT,UPMC MCKEESPORT,PA,15132,13917.636361,2211.4545450000005,0.60247611247609,0.2408181043740553,28.7
552,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,MEDICAL BACK PROBLEMS W/O MCC,19589.23529,5823.588235,8554.647059,MC KEESPORT,UPMC MCKEESPORT,PA,15132,11034.588231,2731.058824000001,0.5632985702424528,0.31924856807818425,28.7
554,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,BONE DISEASES & ARTHROPATHIES W/O MCC,16462.8,5372.866667,7581.133333,MC KEESPORT,UPMC MCKEESPORT,PA,15132,8881.666667,2208.2666659999995,0.5394991536676629,0.2912845044404655,28.7
563,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",18331.75,5173.666667,7956.25,MC KEESPORT,UPMC MCKEESPORT,PA,15132,10375.5,2782.583333,0.5659852441801791,0.34973553282010994,28.7
603,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",CELLULITIS W/O MCC,17220.36364,4953.363636,7811.727273,MC KEESPORT,UPMC MCKEESPORT,PA,15132,9408.636367000001,2858.363637000001,0.546366880728658,0.3659067370259433,28.7
638,"Endocrine, Nutritional & Metabolic Diseases & Disorders",DIABETES W CC,22789.16,5874.84,8369.4,MC KEESPORT,UPMC MCKEESPORT,PA,15132,14419.76,2494.5599999999995,0.6327464461173646,0.2980572084020359,28.7
641,"Endocrine, Nutritional & Metabolic Diseases & Disorders","MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",18126.57895,4702.631579,7256.473684,MC KEESPORT,UPMC MCKEESPORT,PA,15132,10870.105266,2553.842105000001,0.5996777050972434,0.3519398286568637,28.7
683,Diseases & Disorders of the Kidney & Urinary Tract,RENAL FAILURE W CC,23969.59259,5740.888889,9406.148148,MC KEESPORT,UPMC MCKEESPORT,PA,15132,14563.444441999998,3665.259259,0.6075799739740174,0.3896663332672825,28.7
